method,seed,loss_start_time,loss_duration,loss_end_time,success,recovered,retained_recovery,rmse,steady_rmse,stable_ratio,capture_time,recovery_time,retained_settling_time,loss_window_peak_error,post_loss_peak_error,forward_overshoot,post_loss_forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,initial_uav_x,initial_uav_y,ugv_vx
PD+FF,1020,3.0,0.0,3.0,True,True,True,0.3516785214818252,0.04321227714740972,0.7425,5.15,2.1500000000000004,2.1500000000000004,0.0,0.40054503083229065,0.0,0.0,8.466949111607391e-06,0.010744811035692692,0.00016398723528254777,7.610748434672132e-05,-1.1319496631622314,-0.4326494336128235,0.2227078378200531
PD+FF,1021,3.0,0.0,3.0,True,True,True,0.5578307176501182,0.07572476704069166,0.6825,6.3500000000000005,3.3500000000000005,3.3500000000000005,0.0,0.7017393708229065,0.0,0.0,1.1136644388898276e-05,0.011856011115014553,0.00027326575946062803,0.0001280457800021395,-1.4384177923202515,-0.8382971882820129,0.49743902683258057
PD+FF,1022,3.0,0.0,3.0,True,True,True,0.7060252962422066,0.09617323986508793,0.655,6.9,3.9000000000000004,3.9000000000000004,0.0,0.8911751508712769,0.0,0.0,1.4988871043897234e-05,0.014383488334715366,0.0003435486287344247,0.00016127314302138984,-1.999210000038147,0.8368335366249084,0.37694433331489563
PD+FF,1023,3.0,0.0,3.0,True,True,True,0.5634070232477367,0.07583523624737641,0.6825,6.3500000000000005,3.3500000000000005,3.3500000000000005,0.0,0.7028181552886963,0.0,0.0,1.1616323718044441e-05,0.0124141164124012,0.000292059441562742,0.00013524768291972578,-1.4916963577270508,0.8117974996566772,0.4728805720806122
PD+FF,1024,3.0,0.0,3.0,True,True,True,0.49306007007397995,0.06292482772691702,0.7025,5.95,2.95,2.95,0.0,0.5832400321960449,0.0,0.0,1.4109899893810507e-05,0.013781343586742878,0.00024198778555728495,0.00011246983922319487,-1.51630699634552,-0.48329436779022217,0.3110935389995575
PD+FF,1025,3.0,0.0,3.0,True,True,True,0.23797246387193213,0.02911241108497144,0.785,4.3,1.2999999999999998,1.2999999999999998,0.0,0.2698453366756439,0.0,0.0,4.064035238116048e-06,0.007569118402898312,0.00010410708637209609,4.877444007433951e-05,-0.7683239579200745,0.258014976978302,0.24864348769187927
PD+FF,1026,3.0,0.0,3.0,True,True,True,0.5404785615829938,0.0690372528292732,0.6925,6.15,3.1500000000000004,3.1500000000000004,0.0,0.6398888230323792,0.0,0.0,1.5523391994065605e-05,0.015091853216290474,0.0002507434692233801,0.00011735523003153503,-1.7438942193984985,0.19023452699184418,0.2583710551261902
PD+FF,1027,3.0,0.0,3.0,True,True,True,0.6535987210320188,0.0890684715518036,0.665,6.7,3.7,3.7,0.0,0.8253968954086304,0.0,0.0,1.1462567272246815e-05,0.013933063484728336,0.0003293035551905632,0.00015373490168713033,-1.9580382108688354,0.12429128587245941,0.36954861879348755
PD+FF,1028,3.0,0.0,3.0,True,True,True,0.26742359154788914,0.034082101368172434,0.7675,4.65,1.6500000000000004,1.6500000000000004,0.0,0.31590536236763,0.0,0.0,4.667063876695465e-06,0.00797688215970993,0.00012557105219457299,5.8620447816792876e-05,-0.7757433652877808,-0.22796711325645447,0.4025936424732208
PD+FF,1029,3.0,0.0,3.0,True,True,True,0.2721712676243171,0.03273220324584068,0.7725,4.55,1.5499999999999998,1.5499999999999998,0.0,0.3034069538116455,0.0,0.0,5.7732477216632105e-06,0.00884232483804226,0.00011888256267411634,5.567484186030924e-05,-0.7448340058326721,0.6458722352981567,0.214758962392807
PD+FF,1030,3.0,0.0,3.0,True,True,True,0.6191851169446929,0.0832429401977821,0.6725,6.550000000000001,3.5500000000000007,3.5500000000000007,0.0,0.7714437246322632,0.0,0.0,1.3882283383281901e-05,0.013323070481419563,0.00030121952295303345,0.00014150234346743673,-1.6447029113769531,-0.9496257901191711,0.4438457489013672
PD+FF,1031,3.0,0.0,3.0,True,True,True,0.3954124093163905,0.04941524147664555,0.7275,5.45,2.45,2.45,0.0,0.4580356478691101,0.0,0.0,1.0768076208478305e-05,0.011537126265466213,0.0001802272308850661,8.437269571004435e-05,-0.9611496329307556,0.9009804725646973,0.39864641427993774
PD+FF,1032,3.0,0.0,3.0,True,True,True,0.28817547323558085,0.03711699195043459,0.76,4.800000000000001,1.8000000000000007,1.8000000000000007,0.0,0.34403157234191895,0.0,0.0,5.8058112699654885e-06,0.008362779393792152,0.0001285581529373303,6.0355283494573087e-05,-0.6833899617195129,-0.5306191444396973,0.49894750118255615
PD+FF,1033,3.0,0.0,3.0,True,True,True,0.33336796669060864,0.04225906390134669,0.745,5.1000000000000005,2.1000000000000005,2.1000000000000005,0.0,0.3916991055011749,0.0,0.0,7.841154001653194e-06,0.00961918756365776,0.0001713000820018351,7.865240331739187e-05,-0.7577928304672241,0.7459949851036072,0.4761985242366791
PD+FF,1034,3.0,0.0,3.0,True,True,True,0.233052768793083,0.027834761672033338,0.79,4.2,1.2000000000000002,1.2000000000000002,0.0,0.258009135723114,0.0,0.0,4.443073976290179e-06,0.007794696372002363,0.00010485007805982605,4.883089422946796e-05,-0.5296080112457275,-0.6777904629707336,0.22327283024787903
PD+FF,1035,3.0,0.0,3.0,True,True,True,0.522029832838565,0.06999964600449743,0.69,6.2,3.2,3.2,0.0,0.6487513184547424,0.0,0.0,9.358631359646097e-06,0.012494298629462719,0.00026359205367043614,0.0001227246248163283,-1.5201642513275146,-0.23973245918750763,0.436818927526474
PD+FF,1036,3.0,0.0,3.0,True,True,True,0.5252459813660698,0.06770697695427373,0.695,6.1000000000000005,3.1000000000000005,3.1000000000000005,0.0,0.627553403377533,0.0,0.0,1.4114476471149828e-05,0.01447001937776804,0.00025260401889681816,0.00011793676094384864,-1.558912754058838,0.6018440127372742,0.34900519251823425
PD+FF,1037,3.0,0.0,3.0,True,True,True,0.5074259929647925,0.06622773723220916,0.695,6.1000000000000005,3.1000000000000005,3.1000000000000005,0.0,0.6138355135917664,0.0,0.0,1.1634341717581265e-05,0.013623314909636974,0.00024446434690617025,0.00011430310405557975,-1.5164998769760132,-0.3818822205066681,0.38270920515060425
PD+FF,1038,3.0,0.0,3.0,True,True,True,0.5201565030695375,0.06598910941080904,0.6975,6.050000000000001,3.0500000000000007,3.0500000000000007,0.0,0.6116400361061096,0.0,0.0,1.6223546481342055e-05,0.0144917918369174,0.00024105171905830503,0.00011273635027464479,-1.5098652839660645,-0.8029577136039734,0.31811848282814026
PD+FF,1039,3.0,0.0,3.0,True,True,True,0.2286804916212986,0.0288774417562381,0.785,4.3,1.2999999999999998,1.2999999999999998,0.0,0.26766547560691833,0.0,0.0,3.4817796858988004e-06,0.006991086062043905,0.00011737993190763518,5.412814425653778e-05,-0.6960156559944153,-0.0387578122317791,0.3661683201789856
