method,seed,position_noise_std,velocity_noise_std,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,final_error,final_relative_speed,stable_ratio,capture_time,settling_time,forward_overshoot,meaningful_ahead_ratio,command_smoothness,mean_command_change,max_command_change
PD+FF,1061,0.0,0.0,-1.0766786336898804,0.09924349933862686,0.28927016258239746,True,0.3315750062465668,0.04148436710238457,0.00014822487719357014,6.950894749024883e-05,0.7475,5.050000000000001,5.050000000000001,0.0,0.0,7.038037438178435e-06,0.001307438244111836,0.009985548444092274
PD+FF,1062,0.0,0.0,-1.020176649093628,-0.6513675451278687,0.4292861223220825,True,0.3840239346027374,0.04907643049955368,0.0001836131705204025,8.545170567231253e-05,0.7275,5.45,5.45,0.0,0.0,9.545206012262497e-06,0.001567458501085639,0.010929525829851627
PD+FF,1063,0.0,0.0,-0.5567145943641663,0.6067063212394714,0.2895512878894806,True,0.232075035572052,0.028053754940629005,0.00010898220352828503,5.0532697059679776e-05,0.79,4.2,4.2,0.0,0.0,4.247417109581875e-06,0.0010023497743532062,0.007513337302953005
PD+FF,1064,0.0,0.0,-1.6129041910171509,-0.13716638088226318,0.24278511106967926,True,0.4923093616962433,0.062271635979413986,0.00023318857711274177,0.0001086960473912768,0.7025,5.95,5.95,0.0,0.0,1.4441817256738432e-05,0.0018956678686663508,0.01395441871136427
PD+FF,1065,0.0,0.0,-0.5033138990402222,-0.5932050347328186,0.453745573759079,True,0.2405141144990921,0.030054522678256035,0.00010430141992401332,4.934263415634632e-05,0.7825,4.3500000000000005,4.3500000000000005,0.0,0.0,4.4524058466777205e-06,0.001041972078382969,0.007251631002873182
PD+FF,1066,0.0,0.0,-1.3762075901031494,0.32575497031211853,0.20805609226226807,True,0.415297269821167,0.051476724445819855,0.00019222057017032057,9.019601566251367e-05,0.7225,5.550000000000001,5.550000000000001,0.0,0.0,1.117567444453016e-05,0.001662080641835928,0.012309524230659008
PD+FF,1067,0.0,0.0,-0.6176835894584656,0.9055254459381104,0.20151829719543457,True,0.2944870889186859,0.03511269763112068,0.00012674846220761538,5.9195386711508036e-05,0.765,4.7,4.7,0.0,0.0,6.961503004276892e-06,0.0012707604328170419,0.009821220301091671
PD+FF,1068,0.0,0.0,-0.7787961959838867,0.5352519750595093,0.25048118829727173,True,0.26916739344596863,0.03269658237695694,0.0001233189832419157,5.733281432185322e-05,0.7725,4.55,4.55,0.0,0.0,5.418373348220484e-06,0.0011409333674237132,0.00858324021100998
PD+FF,1069,0.0,0.0,-0.5076419115066528,0.8446078896522522,0.24751581251621246,True,0.26616591215133667,0.03177677467465401,0.00011855122284032404,5.5316580983344465e-05,0.775,4.5,4.5,0.0,0.0,5.739279458794044e-06,0.0011535093653947115,0.008807997219264507
PD+FF,1070,0.0,0.0,-1.6644020080566406,0.9533751606941223,0.22921264171600342,True,0.5619850158691406,0.07016897946596146,0.0002622129686642438,0.00012211395369376987,0.69,6.2,6.2,0.0,0.0,2.0166144167887978e-05,0.002261087764054537,0.015840740874409676
PD+FF,1071,0.0,0.0,-1.6379417181015015,0.7469041347503662,0.26974478363990784,True,0.5414777994155884,0.06842929869890213,0.0002566158364061266,0.00011975569213973358,0.6925,6.15,6.15,0.0,0.0,1.7520471374155022e-05,0.0021184554789215326,0.015084301121532917
