method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward,held_out
Nominal Residual PPO,0.0,1065,-0.5033138990402222,-0.5932050347328186,0.453745573759079,True,0.21397964609101167,0.012054306622598569,0.8157080411911011,0.009028063155710697,1.0082629160024226e-05,0.845,3.1,0.009021759033203125,0.5825,3.3628060835625936e-05,0.0,297.2607645409345,False
Nominal Residual PPO,0.0,1066,-1.3762075901031494,0.32575497031211853,0.20805609226226807,True,0.3826971067691743,0.011865431729007126,1.4330849647521973,0.000734869041480124,1.1166843250975944e-05,0.8075,3.85,7.677078247070312e-05,0.1475,3.8107779772249015e-05,0.0,255.95219584745618,False
Nominal Residual PPO,0.0,1067,-0.6176835894584656,0.9055254459381104,0.20151829719543457,True,0.2591376777732632,0.010138627777414809,1.0992552042007446,0.0007733528036624193,1.1462875590950716e-06,0.84,3.2,0.0,0.0,3.2689480385506126e-05,0.0,290.51496525529353,False
Nominal Residual PPO,0.0,1068,-0.7787961959838867,0.5352519750595093,0.25048118829727173,True,0.23579704700982537,0.008046532473021792,0.9600626230239868,0.0017451985040679574,7.235290468088351e-06,0.855,2.9000000000000004,0.0016617774963378906,0.4775,3.756290731543538e-05,0.0,301.52998027733287,False
Nominal Residual PPO,0.0,1069,-0.5076419115066528,0.8446078896522522,0.24751581251621246,True,0.23335675295129105,0.009373721224410306,0.9901279211044312,0.0016481367638334632,4.902690307062585e-06,0.845,3.1,0.0015549659729003906,0.5275,2.910429226948647e-05,0.0,296.686411649147,False
Nominal Residual PPO,0.0,1070,-1.6644020080566406,0.9533751606941223,0.22921264171600342,True,0.5262418514637517,0.016609590425489342,1.9316902160644531,0.001065391581505537,1.434242949471809e-05,0.785,4.3,0.0008563995361328125,0.35,4.268900306333236e-05,0.0,219.79367022787642,False
Nominal Residual PPO,0.0,1071,-1.6379417181015015,0.7469041347503662,0.26974478363990784,True,0.5082069159465077,0.01675522460377925,1.8231765031814575,0.0024014052469283342,1.6636220607324503e-05,0.785,4.3,0.0023593902587890625,0.43,3.89685460777351e-05,0.0,222.41797325047972,False
Nominal Residual PPO,0.0,1072,-1.22187077999115,0.3675197660923004,0.4661308228969574,True,0.40939697882487186,0.0188894508659387,1.3832852840423584,0.009428090415894985,2.451166983519215e-05,0.8,4.0,0.009420394897460938,0.535,2.9084720417995155e-05,0.0,243.0454833035499,False
Nominal Residual PPO,0.0,1073,-1.5133368968963623,0.8512749075889587,0.3800120949745178,True,0.5137246299077144,0.02030070553813928,1.7803895473480225,0.006397361401468515,1.7574249795870855e-05,0.785,4.3,0.006397247314453125,0.5025,3.4934509936211815e-05,0.0,219.01726307080023,False
Nominal Residual PPO,0.0,1074,-0.5001789927482605,-0.2884053587913513,0.4962819218635559,True,0.1845224327364672,0.01162498675628628,0.6843822598457336,0.01050298847258091,5.358542694011703e-06,0.8625,2.75,0.010491371154785156,0.6,2.9898829235820588e-05,0.0,309.2044301296687,False
Nominal Residual PPO,0.0,1075,-0.8189709782600403,0.9466501474380493,0.23914383351802826,True,0.30818531524242876,0.011324567891484068,1.2590471506118774,0.001376754604279995,4.068169346282957e-06,0.835,3.3000000000000003,0.0012459754943847656,0.465,3.909217450142252e-05,0.0,280.08683935292413,False
Nominal Residual PPO,0.0,1076,-1.445397138595581,-0.562984049320221,0.45283621549606323,True,0.4946329771632078,0.024718053262355745,1.6364034414291382,0.008953460492193699,3.052285319427028e-05,0.7825,4.3500000000000005,0.008947372436523438,0.505,3.3410741806122036e-05,0.0,218.4600182368013,False
Nominal Residual PPO,0.0,1077,-0.6151338219642639,-0.8893533945083618,0.2694230377674103,True,0.26602856595788826,0.012759940987258243,1.088533878326416,0.0023983505088835955,1.127683117374545e-05,0.8275,3.45,0.0023565292358398438,0.46,4.479828535139595e-05,0.0,282.67122404353415,False
