method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward
PD+FF,0.0,1082,-0.9581221342086792,-0.30673766136169434,0.3117980659008026,True,0.30847404815201857,0.03852140141585889,1.0504741668701172,0.00013312364171724766,6.27639310550876e-05,0.755,4.9,0.0,0.0,6.280665637665331e-06,0.0,238.10590539570407
PD+FF,0.0,1083,-1.3940625190734863,0.6289385557174683,0.21643398702144623,True,0.4444563352723838,0.05496184519514041,1.543381690979004,0.00020306059741415083,9.446385956835002e-05,0.7175,5.65,0.0,0.0,1.3103777313656917e-05,0.0,195.32070893248877
PD+FF,0.0,1084,-0.7371216416358948,-0.8951173424720764,0.4071005880832672,True,0.34089704829736744,0.042099911901161,1.1846938133239746,0.00016214975039474666,7.533330790465698e-05,0.745,5.1000000000000005,0.0,0.0,8.508725673287815e-06,0.0,227.3548333517364
PD+FF,0.0,1085,-0.7224554419517517,-0.08529454469680786,0.4138740301132202,True,0.2477313414636037,0.03173756692025175,0.8228110671043396,0.0001205312364618294,5.611169399344362e-05,0.775,4.5,0.0,0.0,3.9918220929375e-06,0.0,258.1488700279376
PD+FF,0.0,1086,-0.7490203976631165,-0.7008727788925171,0.4387705326080322,True,0.3167134303382215,0.039809093011990974,1.069380760192871,0.00013926900282967836,6.539145397255197e-05,0.7525,4.95,0.0,0.0,7.126707576144286e-06,0.0,234.96162807917415
PD+FF,0.0,1087,-1.2718281745910645,-0.8616007566452026,0.3274095356464386,True,0.45935909293436633,0.05755477252889526,1.5633959770202637,0.0002050886396318674,9.61863697739318e-05,0.7125,5.75,0.0,0.0,1.3800277830623775e-05,0.0,189.7335281453241
PD+FF,0.0,1088,-1.148199200630188,-0.9221230149269104,0.4605681300163269,True,0.46359176976269306,0.05956573884552068,1.5246732234954834,0.00021822054986841977,0.00010216540977125987,0.7075,5.8500000000000005,0.0,0.0,1.2867847849680456e-05,0.0,185.9260281732686
PD+FF,0.0,1089,-1.8535881042480469,0.5890284776687622,0.37915652990341187,True,0.6356735443513293,0.08534636690595399,2.0066301822662354,0.0003050636441912502,0.00014305097283795476,0.67,6.6000000000000005,0.0,0.0,1.3038927832963168e-05,0.0,133.90549195382346
PD+FF,0.0,1090,-0.9845758080482483,-0.6573527455329895,0.30003631114959717,True,0.3475218932859414,0.042881854070768846,1.2072817087173462,0.00015634199371561408,7.318266580114141e-05,0.7425,5.15,0.0,0.0,8.43202349082739e-06,0.0,225.206230036993
PD+FF,0.0,1091,-1.8845704793930054,-0.6914018392562866,0.36124923825263977,True,0.6462498491951978,0.08598386923610905,2.0584018230438232,0.0003230402653571218,0.00015058780263643712,0.6675,6.65,0.0,0.0,1.4379873275553045e-05,0.0,130.98683655283244
PD+FF,0.0,1092,-1.9696727991104126,-0.2278679758310318,0.31251582503318787,True,0.6357013756162819,0.08385484766636553,2.034053325653076,0.00031666667200624943,0.00014748392277397215,0.67,6.6000000000000005,0.0,0.0,1.3772720011624473e-05,0.0,134.78742860484348
PD+FF,0.0,1093,-0.8791002631187439,0.07968070358037949,0.43002596497535706,True,0.3011182395007566,0.03894939748199817,0.9865993857383728,0.00014332127466332167,6.590200064238161e-05,0.7525,4.95,0.0,0.0,5.609120585417874e-06,0.0,237.8872502166036
PD+FF,0.0,1094,-0.9031349420547485,-0.5643354058265686,0.2514164447784424,True,0.30558619605355525,0.037292958763349454,1.0819679498672485,0.00013920907804276794,6.490687519544736e-05,0.7575,4.8500000000000005,0.0,0.0,6.771006471070622e-06,0.0,240.09744035666228
PD+FF,0.0,1095,-1.3096781969070435,-0.4019305408000946,0.2943161725997925,True,0.4184468491745897,0.0527177372619928,1.407849907875061,0.0001884035737020895,8.844371768645942e-05,0.72,5.6000000000000005,0.0,0.0,1.0918432427569973e-05,0.0,201.22721503969953
PD+FF,0.0,1096,-0.5565752387046814,0.7886120080947876,0.27283963561058044,True,0.2649927457418263,0.03180014625331647,0.972832441329956,0.00011330512643326074,5.322689321474172e-05,0.775,4.5,0.0,0.0,5.6049872290579445e-06,0.0,255.63153990629726
PD+FF,0.0,1097,-1.3080552816390991,0.037033263593912125,0.27344202995300293,True,0.40036292639467114,0.050373587666133486,1.3485392332077026,0.000175523673533462,8.263412019005045e-05,0.725,5.5,0.0,0.0,9.877560015631897e-06,0.0,207.11751423621894
PD+FF,0.0,1098,-1.2224541902542114,-0.25077617168426514,0.4742331802845001,True,0.43104093236949886,0.0572503904033802,1.3684465885162354,0.00019462080672383308,9.196031896863133e-05,0.7125,5.75,0.0,0.0,8.197649482535907e-06,0.0,194.09595960487343
