method,scenario,seed,success,reacquired,rmse,pre_maneuver_rmse,post_maneuver_rmse,post_p95_error,post_max_error,post_lateral_rmse,overall_stable_ratio,post_stable_ratio,reacquisition_time,forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,base_ugv_speed,max_ugv_speed
PD+FF,nominal,1075,True,True,0.3452018375813247,0.12792496950044482,0.02769173243026752,0.07137828320264816,0.0986255630850792,0.019375886614806798,0.7475,1.0,0.0,0.0,9.090457751881331e-06,0.011009875684976578,0.00015272514428943396,7.1341433795169e-05,0.23914383351802826,0.23914383351802826
PD+FF,nominal,1076,True,True,0.5178411119837181,0.21227308077960766,0.04595162386811731,0.11844448000192642,0.1636563092470169,0.011239299312775538,0.6925,0.9857651245551602,0.15000000000000036,0.0,1.0391700016043615e-05,0.012574740685522556,0.00026212248485535383,0.00012157461605966091,0.45283621549606323,0.45283621549606323
PD+FF,nominal,1077,True,True,0.29659127906666893,0.10957146785393705,0.023718768837573168,0.06113754212856293,0.08447574824094772,0.01812174212804782,0.7625,1.0,0.0,0.0,6.922120974195423e-06,0.009648658335208893,0.0001307942293351516,6.108212255639955e-05,0.2694230377674103,0.2694230377674103
PD+FF,nominal,1078,True,True,0.2617715590295298,0.09677674388069715,0.020949067197289898,0.053998302668333054,0.07461138814687729,0.013771969705109702,0.7775,1.0,0.0,0.0,5.4144825298863e-06,0.008513720706105232,0.00011515850201249123,5.3772448154632e-05,0.23459486663341522,0.23459486663341522
PD+FF,nominal,1079,True,True,0.3147888021250831,0.12083633709123397,0.026158350760447726,0.06742426753044128,0.09316118061542511,0.017592633747952502,0.7525,1.0,0.0,0.0,7.494308192690369e-06,0.009227906353771687,0.0001343217008979991,6.362538260873407e-05,0.4896434247493744,0.4896434247493744
PD+FF,nominal,1080,True,True,0.2789978724583042,0.10533049419575487,0.022800493084740695,0.058770567178726196,0.08120560646057129,0.014282039565180874,0.7675,1.0,0.0,0.0,5.8750952121044975e-06,0.008645283058285713,0.00012424630403984338,5.8178178733214736e-05,0.367546945810318,0.367546945810318
PD+FF,nominal,1081,True,True,0.4704139246372572,0.1808784589067552,0.03915588906918907,0.10092512518167496,0.1394510418176651,0.017484161424743273,0.71,1.0,0.0,0.0,1.44744271892705e-05,0.013501483015716076,0.00021218891197349876,9.953153494279832e-05,0.3006768822669983,0.3006768822669983
PD+FF,nominal,1082,True,True,0.30847404815201857,0.11855807267918729,0.025665072915434368,0.06615302711725235,0.09140479564666748,0.006116118731311936,0.755,1.0,0.0,0.0,6.280664820224047e-06,0.009299513883888721,0.00013312364171724766,6.27639310550876e-05,0.3117980659008026,0.3117980659008026
PD+FF,nominal,1083,True,True,0.4444563352723838,0.16915965736847868,0.03661785140850406,0.09438640624284744,0.13041621446609497,0.012585105575090183,0.7175,1.0,0.0,0.0,1.3103777746437117e-05,0.013155719265341759,0.00020306059741415083,9.446385956835002e-05,0.21643398702144623,0.21643398702144623
PD+FF,nominal,1084,True,True,0.34089704829736744,0.12957355517579391,0.02804873105184699,0.07229774445295334,0.09989655762910843,0.018247787650700897,0.745,1.0,0.0,0.0,8.508725841238629e-06,0.010180558077991009,0.00016214975039474666,7.533330790465698e-05,0.4071005880832672,0.4071005880832672
PD+FF,nominal,1085,True,True,0.2477313414636037,0.09767810126236724,0.021145678670006277,0.05450335144996643,0.0753074511885643,0.0017007100397184295,0.775,1.0,0.0,0.0,3.9918222682899795e-06,0.007403410039842129,0.0001205312364618294,5.611169399344362e-05,0.4138740301132202,0.4138740301132202
