controller,condition,family,seed,success,full_rmse,primary_error,stable_ratio,forward_overshoot,command_smoothness,secondary_time_name,secondary_time,post_peak_or_p95_error,final_error
Robust Residual PPO,Nominal,noise,1035,True,0.4990081489086151,0.012277198024094105,0.76,0.0018892288208007812,1.4469807865680195e-05,settling_time,4.800000000000001,nan,0.00425760867074132
Robust Residual PPO,Nominal,noise,1036,True,0.49751150608062744,0.008173863403499126,0.77,0.0012526512145996094,1.671113568590954e-05,settling_time,4.6000000000000005,nan,0.0023038664367049932
Robust Residual PPO,Nominal,noise,1037,True,0.47788992524147034,0.010344364680349827,0.77,0.0014958381652832031,1.787202745617833e-05,settling_time,4.6000000000000005,nan,0.0030529298819601536
Robust Residual PPO,Nominal,noise,1038,True,0.48081448674201965,0.010547754354774952,0.7775,0.0010356903076171875,2.5850738893495873e-05,settling_time,4.45,nan,0.0016315639950335026
Robust Residual PPO,Nominal,noise,1039,True,0.20095573365688324,0.003775146557018161,0.8425,0.0013728141784667969,1.1101152267656289e-05,settling_time,3.1500000000000004,nan,0.0026833745650947094
Robust Residual PPO,Nominal,noise,1040,True,0.26229533553123474,0.0037673248443752527,0.825,0.0017223358154296875,1.3577372556028422e-05,settling_time,3.5,nan,0.003740574698895216
Robust Residual PPO,Nominal,noise,1041,True,0.21114742755889893,0.006229605991393328,0.8375,0.0021028518676757812,1.2507189239840955e-05,settling_time,3.25,nan,0.004886333830654621
Robust Residual PPO,Nominal,noise,1042,True,0.45206788182258606,0.009016215801239014,0.775,0.0014252662658691406,1.688272641331423e-05,settling_time,4.5,nan,0.0028325526509433985
Robust Residual PPO,Nominal,noise,1043,True,0.5590977072715759,0.013291573151946068,0.76,0.0010461807250976562,2.5730838387971744e-05,settling_time,4.800000000000001,nan,0.0016608439618721604
Robust Residual PPO,Nominal,noise,1044,True,0.6006689071655273,0.011263134889304638,0.755,0.0002856254577636719,2.2894644644111395e-05,settling_time,4.9,nan,0.0011693212436512113
Robust Residual PPO,Nominal,noise,1045,True,0.2348731905221939,0.006065525114536285,0.8325,0.0017423629760742188,1.5383349818876013e-05,settling_time,3.35,nan,0.003793468000367284
Robust Residual PPO,Nominal,noise,1046,True,0.6328390836715698,0.017940348014235497,0.7375,0.0015974044799804688,1.5024161257315427e-05,settling_time,5.25,nan,0.0033606209326535463
Robust Residual PPO,Nominal,noise,1047,True,0.33249431848526,0.004860337823629379,0.805,0.0008969306945800781,1.776798853825312e-05,settling_time,3.9000000000000004,nan,0.00122706382535398
