seed,initial_uav_x,initial_uav_y,ugv_vx,episode_length,success,total_reward,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,command_smoothness,mean_command_change,max_command_change,saturation_ratio,mean_residual,rms_residual,max_residual,residual_smoothness
1020,-1.1319496631622314,-0.4326494336128235,0.2227078378200531,400,True,273.64321795349304,0.31911933422088623,0.012227031402289867,1.2291920185089111,0.000903709908016026,1.3788575415674131e-05,0.825,3.5,3.7560319469776005e-05,0.002220743102952838,0.05772735923528671,0.0,0.02745729498565197,0.06196720153093338,0.15797342360019684,2.198835318267811e-05
1021,-1.4384177923202515,-0.8382971882820129,0.49743902683258057,400,True,202.50735871727744,0.5359554290771484,0.029659701511263847,1.7444440126419067,0.010492485947906971,3.0480723580694757e-05,0.7675,4.650000095367432,3.4828677598852664e-05,0.002346588531509042,0.05463282763957977,0.1175,0.03817393630743027,0.07178893685340881,0.16212311387062073,2.0283629055484198e-05
1022,-1.999210000038147,0.8368335366249084,0.37694433331489563,400,True,167.18609746618944,0.6856614947319031,0.029940199106931686,2.218454360961914,0.006273310631513596,2.497606328688562e-05,0.7475,5.050000190734863,3.501401442917995e-05,0.002356025157496333,0.05289324373006821,0.1175,0.03988991305232048,0.0752163752913475,0.15666283667087555,1.8898594134952873e-05
1023,-1.4916963577270508,0.8117974996566772,0.4728805720806122,400,True,204.84807693641926,0.5421852469444275,0.0260738767683506,1.7737066745758057,0.00964532233774662,3.221473525627516e-05,0.7725,4.550000190734863,3.101288893958554e-05,0.0020907872822135687,0.05355868861079216,0.1125,0.037116292864084244,0.07130899280309677,0.15835648775100708,1.8089784134645015e-05
1024,-1.51630699634552,-0.48329436779022217,0.3110935389995575,400,True,232.7596933817429,0.4610966444015503,0.018551960587501526,1.631180763244629,0.003881096839904785,2.3821952709113248e-05,0.7925,4.150000095367432,3.8642498111585155e-05,0.0023586826864629984,0.056165050715208054,0.06,0.03303354233503342,0.06780123710632324,0.1573227345943451,2.1088841094751842e-05
1025,-0.7683239579200745,0.258014976978302,0.24864348769187927,400,True,307.6098173454345,0.20762118697166443,0.007234308402985334,0.8374007940292358,0.001686630304902792,5.382567451306386e-06,0.8575,2.8499999046325684,3.6361616366775706e-05,0.0017345943488180637,0.05492113158106804,0.0,0.02177649922668934,0.05567360669374466,0.15678633749485016,2.729713378357701e-05
1026,-1.7438942193984985,0.19023452699184418,0.2583710551261902,400,True,219.63868166285107,0.509953498840332,0.017274774610996246,1.788628101348877,0.0020020385272800922,1.5804791473783553e-05,0.78,4.400000095367432,3.780873157666065e-05,0.0021751970052719116,0.0565347783267498,0.0625,0.03367803245782852,0.06947246193885803,0.15370053052902222,2.0441326341824606e-05
1027,-1.9580382108688354,0.12429128587245941,0.36954861879348755,400,True,179.67170893802458,0.6339989900588989,0.028007719665765762,2.037653923034668,0.005995755549520254,2.9756920412182808e-05,0.7525,4.949999809265137,3.274477057857439e-05,0.0018681245855987072,0.05602428689599037,0.11,0.03874671831727028,0.07340129464864731,0.15314307808876038,1.9739887648029253e-05
1028,-0.7757433652877808,-0.22796711325645447,0.4025936424732208,400,True,294.9285432877692,0.23994915187358856,0.011350352317094803,0.8892406821250916,0.007213898003101349,1.2916766536363866e-05,0.8475,3.049999952316284,3.6491335777100176e-05,0.001887945574708283,0.05677872151136398,0.0,0.025152195245027542,0.05619287118315697,0.15186631679534912,2.4997305445140228e-05
1029,-0.7448340058326721,0.6458722352981567,0.214758962392807,400,True,302.4008520692159,0.2371533215045929,0.008169654756784439,0.9937342405319214,0.0007768401992507279,3.2304915293934755e-06,0.8575,2.8499999046325684,3.6743782402481884e-05,0.001916992012411356,0.05146240442991257,0.0,0.022494398057460785,0.05792383477091789,0.16905789077281952,2.5806182748056017e-05
