phase,family,condition,severity,severity_unit,method,success_rate,full_rmse_mean,primary_error_name,primary_error_mean,stable_ratio_mean,capture_time_mean,settling_or_recovery_time_mean,forward_overshoot_mean,command_smoothness_mean,max_command_change_mean,held_out,source_file,notes
5.2,velocity_noise,velocity_observation_noise,0.03,m/s,Residual PPO,1.0,0.4046748329699039,steady_rmse,0.0204955674149096,0.8044249999999998,3.918,3.918,0.01432670712471,0.0061029505357146,0.2098705165088176,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.05,m/s,PD+FF,1.0,0.4338465963304043,steady_rmse,0.0587448448501527,0.7192749999999998,5.6205,5.6205,0.014110517501831,0.0123186064604669,0.2867345768213272,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.05,m/s,Direct PPO,0.97,0.3847747269272804,steady_rmse,0.0167820062488317,0.8099000000000001,3.514,17.875773195876288,0.0223481273651123,0.3631482616066933,1.4260231864452362,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.05,m/s,Residual PPO,1.0,0.4053164467215538,steady_rmse,0.0252147885598242,0.801075,4.021,4.119000000000001,0.0196437311172485,0.0167000602651387,0.3445512238144874,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.1,m/s,PD+FF,1.0,0.4362104460597038,steady_rmse,0.0660337996855378,0.7036500000000001,5.918500000000002,11.117,0.0302912437915802,0.0490727738291025,0.5725407579541206,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.1,m/s,Direct PPO,0.79,0.3858281126618385,steady_rmse,0.0345537687651813,0.672375,4.2235000000000005,19.602531645569623,0.033350024819374,0.7898129463195801,2.071910518407821,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.1,m/s,Residual PPO,0.99,0.4080420735478401,steady_rmse,0.0390729419142007,0.7626,4.430000000000001,16.853030303030305,0.0345150995254516,0.0630472326651215,0.6520270335674286,False,observation_noise_summary.csv,
5.3,observation_delay,observation_delay,0.0,ms,PD+FF,1.0,0.4330287542939186,steady_rmse,0.0557829068228602,0.7215250000000002,5.5695,5.5695,0.0,1.023695691856119e-05,0.0117104809777811,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,0.0,ms,Direct PPO,1.0,0.3845086766779422,steady_rmse,0.0063297923095524,0.8410750000000001,3.1795,3.1795,0.0074892652034759,0.0023249562643468,0.4500536586344242,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,0.0,ms,Residual PPO,1.0,0.404345293790102,steady_rmse,0.0172676667757332,0.8057999999999998,3.884,3.884,0.0053199243545532,3.60298520536162e-05,0.0549444590136408,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,100.0,ms,PD+FF,1.0,0.4284046837687492,steady_rmse,0.0498348992317915,0.7321749999999999,5.3565,5.3565,0.0,1.06845631376018e-05,0.0120157035347074,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,100.0,ms,Direct PPO,0.65,0.3839170344173908,steady_rmse,0.0143751540966331,0.54175,4.396551724137932,19.888805970149257,0.0305583497881889,0.0817437717318534,0.6053556853532791,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,100.0,ms,Residual PPO,1.0,0.4015557546913624,steady_rmse,0.0144164640456438,0.8091999999999999,3.8160000000000007,3.8160000000000007,0.0053301525115966,4.8412205833301416e-05,0.0632786687090992,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,200.0,ms,PD+FF,1.0,0.423810229897499,steady_rmse,0.0438288178667426,0.7432500000000002,5.135000000000002,5.135000000000002,0.0,1.116996509153978e-05,0.0122379884030669,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,200.0,ms,Direct PPO,0.0,0.3844422537088394,steady_rmse,0.0334020044095814,0.2803,,19.87,0.0836249667406082,0.0727606549113988,0.6668962886929513,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,200.0,ms,Residual PPO,1.0,0.398937463760376,steady_rmse,0.0120015852851793,0.8106749999999999,3.7865,3.7865,0.0053373527526855,6.071212847018615e-05,0.0691024255752563,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,300.00000000000006,ms,PD+FF,1.0,0.4193427424132824,steady_rmse,0.0377769934944808,0.7548750000000001,4.9025,4.9025,1.9073486328125e-08,1.1691596441778528e-05,0.0124358509061858,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,300.00000000000006,ms,Direct PPO,0.0,0.3885788162052631,steady_rmse,0.0654125132784247,0.165675,,19.887500000000003,0.1396781355142593,0.0576942766830325,0.705779914855957,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,300.00000000000006,ms,Residual PPO,1.0,0.3965575368702411,steady_rmse,0.0100892188563011,0.8105249999999999,3.796,3.796,0.0053418636322021,6.97821518042474e-05,0.0732870033755898,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,400.0,ms,PD+FF,1.0,0.4150832077860832,steady_rmse,0.0316831197123974,0.7667,4.666,4.666,3.004074096679688e-07,1.2249437943410158e-05,0.0125996366143226,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,400.0,ms,Direct PPO,0.0,0.4031386210024357,steady_rmse,0.1220917821675539,0.0502,,19.9,0.1896465623378753,0.0454007685929536,0.7221698832511901,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.3,observation_delay,observation_delay,400.0,ms,Residual PPO,1.0,0.3944876374304294,steady_rmse,0.0088704438391141,0.8085249999999999,3.9175,3.9175,0.0061867183446884,7.714410268818028e-05,0.0778098087012767,False,observation_delay_summary.csv,Legacy settling-time values near episode end can be misleading for failed Direct PPO cases; use success/stable ratio as primary evidence.
5.4,vision_loss,temporary_vision_loss,0.0,s,PD+FF,1.0,0.4330287556375031,steady_rmse,0.0557829068837876,0.7215250000000002,5.5695,2.5695,0.0,1.023695691856119e-05,0.0117104809777811,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
5.4,vision_loss,temporary_vision_loss,0.0,s,Direct PPO,1.0,0.3845086758555819,steady_rmse,0.0063297922589523,0.8410750000000001,3.1795,0.3835,0.0074892652034759,0.0023249562643468,0.4500536586344242,False,temporary_vision_loss_summary.csv,Last-valid target hold with constant-velocity target; dropout begins at t=3 s during pursuit transient.
